Age,Balance,IsActiveMember,Surname,Geography,Gender,Exited
42,0.0,1,Hargrave,France,Female,1
41,83807.86,1,Hill,Spain,Female,0
42,159660.8,0,Onio,France,Female,1
39,0.0,0,Boni,France,Female,0
43,125510.82,1,Mitchell,Spain,Female,0
44,113755.78,0,Chu,Spain,Male,1
50,0.0,1,Bartlett,France,Male,0
29,115046.74,0,Obinna,Germany,Female,1
44,142051.07,1,He,France,Male,0
27,134603.88,1,H?,France,Male,0
31,102016.72,0,Bearce,France,Male,0
24,0.0,0,Andrews,Spain,Male,0
34,0.0,0,Kay,France,Female,0
25,0.0,0,Chin,France,Female,0
35,0.0,1,Scott,Spain,Female,0
45,143129.41,1,Goforth,Germany,Male,0
58,132602.88,0,Romeo,Germany,Male,1
24,0.0,1,Henderson,Spain,Female,0
45,0.0,0,Muldrow,Spain,Male,0
24,0.0,1,Hao,France,Female,0
41,0.0,1,McDonald,France,Male,0
32,0.0,0,Dellucci,Spain,Female,0
38,0.0,0,Gerasimov,Spain,Female,1
46,0.0,1,Mosman,France,Male,0
38,0.0,1,Yen,France,Female,0
25,0.0,1,Maclean,France,Male,0
36,136815.64,1,Young,Germany,Male,0
44,0.0,0,Nebechi,France,Male,0
43,141349.43,1,McWilliams,Germany,Female,0
29,59697.17,1,Lucciano,France,Male,0
39,0.0,0,Azikiwe,Spain,Female,1
36,85311.7,1,Odinakachukwu,France,Male,0
41,110112.54,0,Sanderson,Germany,Male,0
42,0.0,1,Maggard,Spain,Female,0
29,0.0,1,Clements,Spain,Female,0
45,134264.04,0,Lombardo,France,Female,1
31,145260.23,1,Watson,Spain,Male,0
33,76548.6,1,Lorenzo,Spain,Male,0
36,0.0,1,Armstrong,France,Male,0
41,70349.48,1,Cameron,Germany,Male,0
40,0.0,0,Hsiao,Spain,Male,0
51,122522.32,0,Clarke,France,Female,1
61,117419.35,1,Osborne,France,Female,0
49,131394.56,0,Lavine,France,Female,1
61,155931.11,1,Bianchi,Spain,Female,0
32,109421.13,1,Tyler,Germany,Female,0
27,112045.67,1,Martin,Germany,Female,1
39,137843.8,1,Okagbue,Germany,Female,1
38,103391.38,1,Yin,Germany,Male,0
37,103769.22,0,Buccho,Germany,Female,0
44,116363.37,0,Chidiebele,Germany,Male,0
36,146050.97,0,Trevisani,Germany,Male,0
33,0.0,0,O'Brien,France,Female,0
41,125561.97,0,Parkhill,Germany,Male,1
42,98495.72,0,Yoo,Germany,Male,1
43,125211.92,1,Phillipps,France,Male,0
45,127864.4,0,Tsao,France,Male,0
19,75888.2,0,Endrizzi,Germany,Male,0
66,0.0,0,T'ien,Spain,Female,1
51,40685.92,1,Velazquez,France,Male,0
35,136857.0,0,Hunter,Germany,Male,0
27,152328.88,0,Clark,Germany,Female,0
33,56084.69,0,Jeffrey,Spain,Male,0
56,78707.16,1,Pirozzi,Spain,Male,0
26,109166.37,1,Jackson,Germany,Male,0
36,169831.46,1,Hammond,Germany,Female,0
34,101633.04,0,Brownless,Germany,Female,0
43,123180.01,1,Chibugo,Germany,Male,0
35,150725.53,1,Glauert,Germany,Female,0
21,98373.26,0,Pisano,France,Female,0
58,133745.44,0,Konovalova,Germany,Male,1
29,0.0,0,McKee,France,Male,0
37,163607.18,1,Palermo,Spain,Female,0
25,157780.84,1,Ballard,Germany,Female,0
36,0.0,1,Wallace,France,Male,0
21,178718.19,0,Cavenagh,France,Female,0
55,0.0,1,Hu,France,Male,0
32,0.0,1,Read,France,Female,0
33,77253.22,1,Bushell,Spain,Male,0
41,122189.66,0,Postle,Germany,Female,0
34,96645.54,0,Buley,France,Female,0
32,0.0,0,Leonard,France,Female,1
36,0.0,0,Mills,France,Female,0
34,90307.62,1,Onyeorulu,France,Female,0
46,0.0,0,Beit,France,Female,0
75,0.0,1,Ndukaku,Spain,Female,0
22,121681.82,0,Gant,Spain,Male,1
30,0.0,0,Rowley,France,Male,0
46,0.0,0,Sharpe,France,Female,1
28,81623.67,1,Osborne,Germany,Female,0
44,0.0,1,Heap,Spain,Female,1
45,118626.55,0,Ritchie,France,Male,0
36,0.0,0,Cole,France,Female,0
29,0.0,1,Capon,France,Male,0
42,0.0,1,Capon,Spain,Male,0
35,176273.95,1,Fiorentini,Spain,Male,0
41,102827.44,1,Graham,Spain,Male,0
29,97086.4,1,Yuille,Germany,Male,0
22,0.0,0,Allard,Spain,Male,0
34,0.0,0,Fanucci,France,Male,0
40,0.0,1,Fu,France,Female,0
44,0.0,0,Hung,France,Female,0
31,82674.15,0,Hung,France,Male,0
36,0.0,0,Bradley,Spain,Male,0
65,0.0,1,Dunbabin,Spain,Female,1
46,107073.27,1,Mauldon,Spain,Female,1
32,88938.62,1,Stiger,Germany,Male,0
36,99806.85,1,Parsons,Germany,Female,0
33,150092.8,0,Walkom,Spain,Male,0
35,92833.89,0,T'ang,Germany,Male,1
30,90536.81,1,Eremenko,Germany,Male,0
39,108055.1,0,Rowntree,Germany,Male,0
42,100238.35,0,Thorpe,France,Male,0
36,106190.55,1,Chiemela,Spain,Male,0
28,154475.54,1,Fanucci,Germany,Male,1
30,132351.29,1,Ko,Germany,Female,0
37,167864.4,0,Welch,Germany,Female,0
41,0.0,0,Duncan,France,Female,0
31,107818.63,0,Chidozie,Germany,Female,1
34,185173.81,0,Wu,Germany,Male,0
34,129433.34,0,Culbreth,France,Male,0
39,120193.42,0,Kennedy,Spain,Male,0
39,0.0,0,Cameron,France,Female,0
48,126384.42,1,Calabresi,Germany,Female,0
28,0.0,0,Zetticci,France,Female,0
42,152603.45,0,Fuller,France,Male,1
52,0.0,1,MacDonald,France,Female,1
56,148507.24,0,Piccio,Germany,Male,1
41,0.0,0,Kennedy,France,Female,0
24,101827.07,0,Fernie,France,Male,0
34,0.0,1,He,France,Female,0
33,130862.43,1,Kaodilinakachukwu,Germany,Female,0
38,122570.87,1,Cocci,France,Male,0
25,0.0,1,Alekseeva,France,Male,0
39,124828.46,1,Chinweike,Germany,Male,0
50,144895.05,1,Arthur,Germany,Female,0
34,63663.93,1,Li,Germany,Female,0
40,133463.1,1,Ma,France,Male,0
48,213146.2,0,Chia,Spain,Female,1
35,129490.36,1,Vasin,Spain,Female,1
44,137452.09,0,Groves,Germany,Male,0
34,0.0,1,Tien,France,Male,0
43,125851.93,1,Forwood,France,Female,0
52,0.0,0,Greeves,Spain,Male,1
31,40915.55,0,Taylor,France,Female,1
21,113157.22,1,Madukwe,Spain,Female,0
29,138296.94,0,Bennelong,Spain,Female,0
37,106967.18,0,Olisanugo,France,Male,0
44,120681.63,0,Chukwufumnanya,France,Male,0
32,0.0,1,Harris,France,Male,0
32,0.0,0,Morgan,Spain,Female,0
48,0.0,0,Alexeeva,France,Female,1
42,0.0,0,Metcalfe,Spain,Male,0
37,127609.59,0,Humphries,France,Male,0
43,0.0,1,Milne,France,Female,0
57,0.0,0,Chou,Spain,Male,1
33,0.0,0,Li,France,Female,0
28,0.0,1,Clayton,Spain,Female,0
73,97259.25,1,Maclean,France,Female,0
33,123246.7,0,Chigolum,Germany,Female,0
22,101060.25,1,Wilkinson,Spain,Female,0
30,0.0,0,Wei,France,Male,0
49,108007.36,0,Treacy,France,Female,0
36,0.0,1,Hu,Spain,Female,0
29,133702.89,0,Taverner,Spain,Male,1
31,125189.75,1,Sherman,Germany,Male,0
24,113034.22,0,Taubman,Germany,Female,1
41,109013.23,0,Robinson,Spain,Female,0
